PassengerId,Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Title,FamilySize
1,0,3,0,1.0,0.0,2.0,0,0,0.4
2,1,1,1,3.0,2.0,0.8,1,2,0.4
3,1,3,1,1.0,0.0,2.0,0,1,0.0
4,1,1,1,2.0,2.0,0.8,0,2,0.4
5,0,3,0,2.0,0.0,2.0,0,0,0.0
6,0,3,0,2.0,0.0,2.0,2,0,0.0
7,0,1,0,3.0,2.0,1.6,0,0,0.0
8,0,3,0,0.0,1.0,2.0,0,3,1.6
9,1,3,1,2.0,0.0,2.0,0,2,0.8
10,1,2,1,0.0,2.0,1.8,1,2,0.4
11,1,3,1,0.0,0.0,2.4,0,1,0.8
12,1,1,1,3.0,1.0,0.8,0,1,0.0
13,0,3,0,1.0,0.0,2.0,0,0,0.0
14,0,3,0,3.0,2.0,2.0,0,0,2.4
15,0,3,1,0.0,0.0,2.0,0,1,0.0
16,1,2,1,3.0,0.0,1.8,0,2,0.0
17,0,3,0,0.0,1.0,2.0,2,3,2.0
18,1,2,0,2.0,0.0,1.8,0,0,0.0
19,0,3,1,2.0,1.0,2.0,0,2,0.4
20,1,3,1,2.0,0.0,2.0,1,2,0.0
21,0,2,0,2.0,1.0,1.8,0,0,0.0
22,1,2,0,2.0,0.0,1.2,0,0,0.0
23,1,3,1,0.0,0.0,2.0,2,1,0.0
24,1,1,0,2.0,2.0,0.0,0,0,0.0
25,0,3,1,0.0,1.0,2.0,0,1,1.6
26,1,3,1,3.0,2.0,2.0,0,2,2.4
27,0,3,0,2.0,0.0,2.0,1,0,0.0
28,0,1,0,1.0,3.0,0.8,0,0,2.0
29,1,3,1,1.0,0.0,2.0,2,1,0.0
30,0,3,0,2.0,0.0,2.0,0,0,0.0
31,0,1,0,3.0,1.0,0.8,1,3,0.0
32,1,1,1,2.0,3.0,0.4,1,2,0.4
33,1,3,1,1.0,0.0,2.0,2,1,0.0
34,0,2,0,4.0,0.0,1.8,0,0,0.0
35,0,1,0,2.0,2.0,0.8,1,0,0.4
36,0,1,0,3.0,2.0,0.8,0,0,0.4
37,1,3,0,2.0,0.0,2.0,1,0,0.0
38,0,3,0,1.0,0.0,2.0,0,0,0.0
39,0,3,1,1.0,1.0,2.0,0,1,0.8
40,1,3,1,0.0,0.0,2.0,1,1,0.4
41,0,3,1,3.0,0.0,2.0,0,2,0.4
42,0,2,1,2.0,1.0,1.8,0,2,0.4
43,0,3,0,2.0,0.0,2.0,1,0,0.0
44,1,2,1,0.0,2.0,1.8,1,1,1.2
45,1,3,1,1.0,0.0,2.0,2,1,0.0
46,0,3,0,2.0,0.0,2.0,0,0,0.0
47,0,3,0,2.0,0.0,2.0,2,0,0.4
48,1,3,1,1.0,0.0,2.0,2,1,0.0
49,0,3,0,2.0,1.0,2.0,1,0,0.8
50,0,3,1,1.0,1.0,2.0,0,2,0.4
51,0,3,0,0.0,2.0,2.0,0,3,2.0
52,0,3,0,1.0,0.0,2.0,0,0,0.0
53,1,1,1,3.0,2.0,1.2,1,2,0.4
54,1,2,1,2.0,1.0,1.8,0,2,0.4
55,0,1,0,4.0,2.0,0.4,1,0,0.4
56,1,1,0,2.0,2.0,0.8,0,0,0.0
57,1,2,1,1.0,0.0,1.8,0,1,0.0
58,0,3,0,2.0,0.0,2.0,1,0,0.0
59,1,2,1,0.0,1.0,1.8,0,1,1.2
60,0,3,0,0.0,2.0,2.0,0,3,2.8
61,0,3,0,1.0,0.0,2.0,1,0,0.0
62,1,1,1,3.0,2.0,0.4,0,1,0.0
63,0,1,0,3.0,2.0,0.8,0,0,0.4
64,0,3,0,0.0,1.0,2.0,0,3,2.0
65,0,1,0,2.0,1.0,0.8,1,0,0.0
66,1,3,0,0.0,0.0,2.0,1,3,0.8
67,1,2,1,2.0,0.0,2.0,0,2,0.0
68,0,3,0,1.0,0.0,2.0,0,0,0.0
69,1,3,1,1.0,0.0,2.0,0,1,2.4
70,0,3,0,1.0,0.0,2.0,0,0,0.8
71,0,2,0,2.0,0.0,1.8,0,0,0.0
72,0,3,1,0.0,2.0,2.0,0,1,2.8
73,0,2,0,1.0,2.0,1.8,0,0,0.0
74,0,3,0,1.0,0.0,2.0,1,0,0.4
75,1,3,0,2.0,2.0,2.0,0,0,0.0
76,0,3,0,1.0,0.0,2.0,0,0,0.0
77,0,3,0,2.0,0.0,2.0,0,0,0.0
78,0,3,0,2.0,0.0,2.0,0,0,0.0
79,1,2,0,0.0,1.0,1.8,0,3,0.8
80,1,3,1,2.0,0.0,2.0,0,1,0.0
81,0,3,0,1.0,0.0,2.0,0,0,0.0
82,1,3,0,2.0,0.0,2.0,0,0,0.0
83,1,3,1,1.0,0.0,2.0,2,1,0.0
84,0,1,0,2.0,2.0,0.8,0,0,0.0
85,1,2,1,1.0,0.0,1.8,0,1,0.0
86,1,3,1,2.0,0.0,2.0,0,2,1.2
87,0,3,0,0.0,2.0,2.0,0,0,1.6
88,0,3,0,2.0,0.0,2.0,0,0,0.0
89,1,1,1,1.0,3.0,0.8,0,1,2.0
90,0,3,0,1.0,0.0,2.0,0,0,0.0
91,0,3,0,2.0,0.0,2.0,0,0,0.0
92,0,3,0,1.0,0.0,2.0,0,0,0.0
93,0,1,0,3.0,2.0,1.6,0,0,0.4
94,0,3,0,1.0,1.0,2.0,0,0,1.2
95,0,3,0,3.0,0.0,2.0,0,0,0.0
96,0,3,0,2.0,0.0,2.0,0,0,0.0
97,0,1,0,4.0,2.0,0.0,1,0,0.0
98,1,1,0,1.0,2.0,1.2,1,0,0.4
99,1,2,1,2.0,1.0,1.8,0,2,0.4
100,0,2,0,2.0,1.0,1.8,0,0,0.4
101,0,3,1,2.0,0.0,2.0,0,1,0.0
102,0,3,0,2.0,0.0,2.0,0,0,0.0
103,0,1,0,1.0,2.0,1.2,0,0,0.4
104,0,3,0,2.0,0.0,2.0,0,0,0.0
105,0,3,0,3.0,0.0,2.0,0,0,0.8
106,0,3,0,2.0,0.0,2.0,0,0,0.0
107,1,3,1,1.0,0.0,2.0,0,1,0.0
108,1,3,0,2.0,0.0,2.0,0,0,0.0
109,0,3,0,3.0,0.0,2.0,0,0,0.0
110,1,3,1,1.0,1.0,2.0,2,1,0.4
111,0,1,0,3.0,2.0,0.8,0,0,0.0
112,0,3,1,0.0,0.0,2.0,1,1,0.4
113,0,3,0,1.0,0.0,2.0,0,0,0.0
114,0,3,1,1.0,0.0,2.0,0,1,0.4
115,0,3,1,1.0,0.0,2.0,1,1,0.0
116,0,3,0,1.0,0.0,2.0,0,0,0.0
117,0,3,0,4.0,0.0,2.0,2,0,0.0
118,0,2,0,2.0,1.0,1.8,0,0,0.4
119,0,1,0,1.0,3.0,0.4,1,0,0.4
120,0,3,1,0.0,2.0,2.0,0,1,2.4
121,0,2,0,1.0,2.0,1.8,0,0,0.8
122,0,3,0,2.0,0.0,2.0,0,0,0.0
123,0,2,0,2.0,2.0,1.8,1,0,0.4
124,1,2,1,2.0,0.0,1.6,0,1,0.0
125,0,1,0,3.0,2.0,1.2,0,0,0.4
126,1,3,0,0.0,0.0,2.0,1,3,0.4
127,0,3,0,2.0,0.0,2.0,2,0,0.0
128,1,3,0,1.0,0.0,2.0,0,0,0.0
129,1,3,1,1.0,1.0,2.0,1,1,0.8
130,0,3,0,3.0,0.0,2.0,0,0,0.0
131,0,3,0,2.0,0.0,2.0,1,0,0.0
132,0,3,0,1.0,0.0,2.0,0,0,0.0
133,0,3,1,3.0,0.0,2.0,0,2,0.4
134,1,2,1,2.0,1.0,1.8,0,2,0.4
135,0,2,0,1.0,0.0,1.8,0,0,0.0
136,0,2,0,1.0,0.0,1.8,1,0,0.0
137,1,1,1,1.0,1.0,1.2,0,1,0.8
138,0,1,0,3.0,2.0,0.8,0,0,0.4
139,0,3,0,0.0,0.0,2.0,0,0,0.0
140,0,1,0,1.0,2.0,0.4,1,0,0.0
141,0,3,1,2.0,0.0,2.0,1,2,0.8
142,1,3,1,1.0,0.0,2.0,0,1,0.0
143,1,3,1,1.0,0.0,2.0,0,2,0.4
144,0,3,0,1.0,0.0,2.0,2,0,0.0
145,0,2,0,1.0,0.0,1.8,0,0,0.0
146,0,2,0,1.0,2.0,1.8,0,0,0.8
147,1,3,0,2.0,0.0,2.0,0,0,0.0
148,0,3,1,0.0,2.0,2.0,0,1,1.6
149,0,2,0,3.0,1.0,2.0,0,0,0.8
150,0,2,0,3.0,0.0,1.8,0,3,0.0
151,0,2,0,3.0,0.0,1.8,0,3,0.0
152,1,1,1,1.0,2.0,0.8,0,2,0.4
153,0,3,0,3.0,0.0,2.0,0,0,0.0
154,0,3,0,3.0,0.0,2.0,0,0,0.8
155,0,3,0,2.0,0.0,2.0,0,0,0.0
156,0,1,0,3.0,2.0,0.8,1,0,0.4
157,1,3,1,0.0,0.0,2.0,2,1,0.0
158,0,3,0,2.0,0.0,2.0,0,0,0.0
159,0,3,0,2.0,0.0,2.0,0,0,0.0
160,0,3,0,0.0,2.0,2.0,0,3,4.0
161,0,3,0,3.0,0.0,2.0,0,0,0.4
162,1,2,1,3.0,0.0,1.8,0,2,0.0
163,0,3,0,1.0,0.0,2.0,0,0,0.0
164,0,3,0,1.0,0.0,2.0,0,0,0.0
165,0,3,0,0.0,2.0,2.0,0,3,2.0
166,1,3,0,0.0,1.0,2.0,0,3,0.8
167,1,1,1,2.0,2.0,1.6,0,2,0.4
168,0,3,1,3.0,1.0,2.0,0,2,2.0
169,0,1,0,2.0,1.0,0.8,0,0,0.0
170,0,3,0,2.0,2.0,2.0,0,0,0.0
171,0,1,0,3.0,2.0,0.4,0,0,0.0
172,0,3,0,0.0,1.0,2.0,2,3,2.0
173,1,3,1,0.0,0.0,2.0,0,1,0.8
174,0,3,0,1.0,0.0,2.0,0,0,0.0
175,0,1,0,3.0,2.0,0.0,1,0,0.0
176,0,3,0,1.0,0.0,2.0,0,0,0.8
177,0,3,0,0.0,1.0,2.0,0,3,1.6
178,0,1,1,3.0,1.0,0.8,1,1,0.0
179,0,2,0,2.0,0.0,1.8,0,0,0.0
180,0,3,0,2.0,0.0,2.0,0,0,0.0
181,0,3,1,1.0,2.0,2.0,0,1,4.0
182,0,2,0,2.0,0.0,1.8,1,0,0.0
183,0,3,0,0.0,2.0,2.0,0,3,2.4
184,1,2,0,0.0,2.0,2.0,0,3,1.2
185,1,3,1,0.0,1.0,2.0,0,1,0.8
186,0,1,0,2.0,2.0,0.0,0,0,0.0
187,1,3,1,2.0,0.0,2.0,2,2,0.4
188,1,1,0,3.0,1.0,0.8,0,0,0.0
189,0,3,0,3.0,0.0,2.0,2,0,0.8
190,0,3,0,2.0,0.0,2.0,0,0,0.0
191,1,2,1,2.0,0.0,1.8,0,2,0.0
192,0,2,0,1.0,0.0,1.8,0,0,0.0
193,1,3,1,1.0,0.0,2.0,0,1,0.4
194,1,2,0,0.0,1.0,2.0,0,3,0.8
195,1,1,1,3.0,1.0,0.4,1,2,0.0
196,1,1,1,3.0,3.0,0.4,1,1,0.0
197,0,3,0,2.0,0.0,2.0,2,0,0.0
198,0,3,0,3.0,0.0,2.0,0,0,0.4
199,1,3,1,1.0,0.0,2.0,2,1,0.0
200,0,2,1,1.0,0.0,1.8,0,1,0.0
201,0,3,0,2.0,0.0,2.0,0,0,0.0
202,0,3,0,2.0,2.0,2.0,0,0,4.0
203,0,3,0,2.0,0.0,2.0,0,0,0.0
204,0,3,0,3.0,0.0,2.0,1,0,0.0
205,1,3,0,1.0,0.0,2.0,0,0,0.0
206,0,3,1,0.0,0.0,2.4,0,1,0.4
207,0,3,0,2.0,0.0,2.0,0,0,0.4
208,1,3,0,1.0,1.0,2.0,1,0,0.0
209,1,3,1,0.0,0.0,2.0,2,1,0.0
210,1,1,0,3.0,2.0,0.0,1,0,0.0
211,0,3,0,1.0,0.0,2.0,0,0,0.0
212,1,2,1,2.0,1.0,1.8,0,1,0.0
213,0,3,0,1.0,0.0,2.0,0,0,0.0
214,0,2,0,2.0,0.0,1.8,0,0,0.0
215,0,3,0,2.0,0.0,2.0,2,0,0.4
216,1,1,1,2.0,3.0,1.2,1,1,0.4
217,1,3,1,2.0,0.0,2.0,0,1,0.0
218,0,2,0,3.0,1.0,1.8,0,0,0.4
219,1,1,1,2.0,2.0,1.2,1,1,0.0
220,0,2,0,2.0,0.0,1.8,0,0,0.0
221,1,3,0,0.0,0.0,2.0,0,0,0.0
222,0,2,0,2.0,0.0,1.8,0,0,0.0
223,0,3,0,3.0,0.0,2.0,0,0,0.0
224,0,3,0,2.0,0.0,2.0,0,0,0.0
225,1,1,0,3.0,2.0,0.8,0,0,0.4
226,0,3,0,1.0,0.0,2.0,0,0,0.0
227,1,2,0,1.0,0.0,1.8,0,0,0.0
228,0,3,0,1.0,0.0,2.0,0,0,0.0
229,0,2,0,1.0,0.0,1.8,0,0,0.0
230,0,3,1,1.0,1.0,2.0,0,1,1.6
231,1,1,1,2.0,2.0,0.8,0,2,0.4
232,0,3,0,2.0,0.0,2.0,0,0,0.0
233,0,2,0,3.0,0.0,1.8,0,0,0.0
234,1,3,1,0.0,2.0,2.0,0,1,2.4
235,0,2,0,1.0,0.0,1.8,0,0,0.0
236,0,3,1,1.0,0.0,2.0,0,1,0.0
237,0,2,0,3.0,1.0,1.8,0,0,0.4
238,1,2,1,0.0,1.0,1.8,0,1,0.8
239,0,2,0,1.0,0.0,1.8,0,0,0.0
240,0,2,0,2.0,0.0,1.8,0,0,0.0
241,0,3,1,1.0,0.0,2.0,1,1,0.4
242,1,3,1,1.0,0.0,2.0,2,1,0.4
243,0,2,0,2.0,0.0,1.8,0,0,0.0
244,0,3,0,1.0,0.0,2.0,0,0,0.0
245,0,3,0,2.0,0.0,2.0,1,0,0.0
246,0,1,0,3.0,2.0,0.8,2,3,0.8
247,0,3,1,1.0,0.0,2.0,0,1,0.0
248,1,2,1,1.0,0.0,1.8,0,2,0.8
249,1,1,0,3.0,2.0,1.2,0,0,0.8
250,0,2,0,3.0,1.0,1.8,0,3,0.4
251,0,3,0,2.0,0.0,2.0,0,0,0.0
252,0,3,1,2.0,0.0,2.4,0,2,0.8
253,0,1,0,3.0,1.0,0.8,0,0,0.0
254,0,3,0,2.0,0.0,2.0,0,0,0.4
255,0,3,1,3.0,1.0,2.0,0,2,0.8
256,1,3,1,2.0,0.0,2.0,1,2,0.8
257,1,1,1,2.0,2.0,0.8,1,2,0.0
258,1,1,1,2.0,2.0,0.4,0,1,0.0
259,1,1,1,2.0,3.0,0.8,1,1,0.0
260,1,2,1,3.0,1.0,1.8,0,2,0.4
261,0,3,0,2.0,0.0,2.0,2,0,0.0
262,1,3,0,0.0,2.0,2.0,0,3,2.4
263,0,1,0,3.0,2.0,1.6,0,0,0.8
264,0,1,0,3.0,0.0,0.4,0,0,0.0
265,0,3,1,1.0,0.0,2.0,2,1,0.0
266,0,2,0,2.0,0.0,1.8,0,0,0.0
267,0,3,0,0.0,2.0,2.0,0,0,2.0
268,1,3,0,1.0,0.0,2.0,0,0,0.4
269,1,1,1,3.0,3.0,0.8,0,2,0.4
270,1,1,1,2.0,3.0,0.8,0,1,0.0
271,0,1,0,2.0,2.0,0.8,0,0,0.0
272,1,3,0,1.0,0.0,2.0,0,0,0.0
273,1,2,1,3.0,1.0,1.8,0,2,0.4
274,0,1,0,3.0,1.0,0.8,1,0,0.4
275,1,3,1,1.0,0.0,2.0,2,1,0.0
276,1,1,1,4.0,2.0,1.2,0,1,0.4
277,0,3,1,3.0,0.0,2.0,0,1,0.0
278,0,2,0,2.0,0.0,1.8,0,0,0.0
279,0,3,0,0.0,1.0,2.0,2,3,2.0
280,1,3,1,2.0,1.0,2.0,0,2,0.8
281,0,3,0,4.0,0.0,2.0,2,0,0.0
282,0,3,0,2.0,0.0,2.0,0,0,0.0
283,0,3,0,0.0,0.0,2.0,0,0,0.0
284,1,3,0,1.0,0.0,2.0,0,0,0.0
285,0,1,0,2.0,1.0,0.0,0,0,0.0
286,0,3,0,2.0,0.0,2.0,1,0,0.0
287,1,3,0,2.0,0.0,2.0,0,0,0.0
288,0,3,0,1.0,0.0,2.0,0,0,0.0
289,1,2,0,3.0,0.0,1.8,0,0,0.0
290,1,3,1,1.0,0.0,2.0,2,1,0.0
291,1,1,1,1.0,2.0,0.8,0,1,0.0
292,1,1,1,1.0,2.0,0.4,1,2,0.4
293,0,2,0,2.0,0.0,1.2,1,0,0.0
294,0,3,1,1.0,0.0,2.0,0,1,0.0
295,0,3,0,1.0,0.0,2.0,0,0,0.0
296,0,1,0,2.0,1.0,0.8,1,0,0.0
297,0,3,0,1.0,0.0,2.0,1,0,0.0
298,0,1,1,0.0,3.0,0.8,0,1,1.2
299,1,1,0,2.0,2.0,0.8,0,0,0.0
300,1,1,1,3.0,3.0,0.4,1,2,0.4
301,1,3,1,1.0,0.0,2.0,2,1,0.0
302,1,3,0,2.0,1.0,2.0,2,0,0.8
303,0,3,0,1.0,0.0,2.0,0,0,0.0
304,1,2,1,1.0,0.0,1.6,2,1,0.0
305,0,3,0,2.0,0.0,2.0,0,0,0.0
306,1,1,0,0.0,3.0,0.8,0,3,1.2
307,1,1,1,1.0,3.0,0.8,1,1,0.0
308,1,1,1,1.0,3.0,0.8,1,2,0.4
309,0,2,0,2.0,1.0,1.8,1,0,0.4
310,1,1,1,2.0,2.0,1.6,1,1,0.0
311,1,1,1,1.0,2.0,0.8,1,1,0.0
312,1,1,1,1.0,3.0,0.4,1,1,1.6
313,0,2,1,1.0,1.0,1.8,0,2,0.8
314,0,3,0,2.0,0.0,2.0,0,0,0.0
315,0,2,0,3.0,1.0,1.8,0,0,0.8
316,1,3,1,1.0,0.0,2.0,0,1,0.0
317,1,2,1,1.0,1.0,1.8,0,2,0.4
318,0,2,0,3.0,0.0,1.8,0,3,0.0
319,1,1,1,2.0,3.0,0.8,0,1,0.8
